SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1551.00,1572.00,1504.00,1509.85,1509.85,1550.35,1352,38086,57961856.00,
500003,AEGIS LOGIS ,A ,Q,219.15,221.50,215.50,219.55,219.50,221.65,302,11238,2443195.00,
500008,AMAR RAJA BA,A ,Q,640.00,640.20,623.20,625.45,624.40,638.90,507,13323,8422311.00,
500009,A.SARABHAI  ,X ,Q,13.14,13.28,11.50,12.88,12.90,12.93,92,44352,562861.00,
500010,HDFC        ,A ,Q,2188.40,2190.00,2164.00,2183.30,2185.00,2190.35,2152,45208,98389008.00,
500012,ANDHRA PETRO,X ,Q,59.80,59.80,56.00,56.75,56.95,57.35,583,43176,2464657.00,
500013,ANSAL INFRAS,B ,Q,6.03,6.38,5.91,6.23,6.22,5.97,144,55606,344914.00,
500014,APPLE FINANC,XT,Q,1.55,1.57,1.43,1.57,1.57,1.50,11,3940,5948.00,
500020,BOM DYEING  ,A ,Q,120.45,122.25,117.90,118.50,118.50,120.00,1314,126161,15088881.00,
500023,ASIANHOTNR  ,B ,Q,133.90,134.00,121.10,123.00,123.00,136.00,18,1066,134189.00,
500024,ASSAMCO     ,T ,Q,1.40,1.47,1.36,1.47,1.47,1.40,43,111600,162000.00,
500027,ATUL LTD.   ,A ,Q,4120.00,4148.00,4102.50,4124.25,4124.25,4084.15,227,521,2149364.00,
500028,ATV PROJECTS,XT,Q,3.87,3.87,3.86,3.87,3.87,4.03,8,1151,4452.00,
500029,AUTOLITE(I) ,Z ,Q,28.25,29.40,28.25,29.40,29.40,28.60,4,1100,32156.00,
500031,BAJAJ ELECT.,A ,Q,508.15,511.25,499.00,509.25,509.25,509.35,568,9574,4864042.00,
500032,BAJAJHIND   ,B ,Q,8.65,8.84,8.40,8.64,8.64,8.72,173,181919,1583524.00,
500033,FORCE MOTR  ,A ,Q,1498.00,1510.00,1471.25,1484.10,1484.10,1496.50,823,7745,11559758.00,
500034,BAJFINANCE  ,A ,Q,3550.00,3550.00,3485.00,3510.10,3510.10,3547.50,2917,76534,268483794.00,
500038,BALRAM.CHINI,A ,Q,154.60,156.90,153.20,153.55,153.55,156.05,343,27284,4229396.00,
500039,BANCO PROD. ,B ,Q,133.10,135.50,133.00,133.55,133.00,133.65,49,2438,326852.00,
500040,CENTURY TEXT,A ,Q,951.00,996.15,951.00,981.70,981.50,989.75,798,26958,26547218.00,
500041,BANNARI AMAN,B ,Q,1450.15,1489.90,1450.10,1489.90,1489.90,1470.00,6,100,147000.00,
500042,BASF INDIA  ,A ,Q,1347.05,1469.50,1347.05,1408.15,1409.90,1386.20,554,2633,3780150.00,
500043,BATA INDIA  ,A ,Q,1422.20,1444.10,1417.00,1429.45,1426.00,1420.65,2069,77280,110862574.00,
500048,BEML LTD    ,A ,Q,956.00,961.80,911.60,920.25,920.25,957.20,2095,81152,75680809.00,
500049,BHARAT ELECT,A ,Q,109.95,110.90,106.85,107.30,107.30,110.40,1468,476416,51703174.00,
500052,BHANSALI ENG,B ,Q,67.25,67.65,65.50,66.35,66.05,67.35,487,69406,4610021.00,
500055,TATASTLBSL  ,B ,Q,30.00,30.90,29.90,30.60,30.60,29.85,393,126802,3875938.00,
500058,BIHAR SPONGE,XT,Q,0.94,1.02,0.94,1.02,1.02,0.98,6,5175,5256.00,
500059,BINANI IND. ,Z ,Q,21.45,21.45,21.45,21.45,21.45,22.55,15,2763,59266.00,
