SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
524000,MAGMA FIN   ,A ,Q,131.00,132.00,129.00,130.70,129.05,130.95,82,7587,991046.00,
524013,HIND.FLUROCA,T ,Q,12.86,13.00,12.83,12.83,12.83,13.50,6,5128,66502.00,
524019,KINGFA      ,B ,Q,658.00,662.00,653.55,662.00,662.00,662.50,10,92,60339.00,
524031,PATIDAR     ,X ,Q,1.74,1.74,1.74,1.74,1.74,1.74,1,83,144.00,
524037,RAMA PHOSPH ,X ,Q,83.70,83.70,72.05,73.35,72.05,75.00,33,2461,182305.00,
524051,POLYPLEX    ,B ,Q,544.00,558.10,543.95,547.50,547.00,544.85,251,3656,2012143.00,
524075,ALBERT DAVID,B ,Q,414.05,417.00,412.10,412.25,412.10,414.00,9,140,57839.00,
524084,MONSANTO (I),A ,Q,2350.00,2361.00,2300.00,2308.90,2308.90,2348.15,75,377,880517.00,
524091,ACRYCIL LTD.,X ,Q,102.40,105.45,102.00,102.30,102.00,102.40,63,3658,376698.00,
524109,KABRA EXTR  ,B ,Q,77.60,80.95,76.00,80.10,80.10,77.10,64,2518,198786.00,
524129,VINYL CHEM  ,B ,Q,71.70,71.70,69.90,70.55,70.20,70.10,16,1394,98318.00,
524136,PEE CEE COSM,X ,Q,96.25,100.00,93.00,100.00,100.00,96.25,5,56,5438.00,
524164,IOL CHEM PH ,B ,Q,205.60,206.65,198.00,199.55,199.55,205.25,973,53628,10831496.00,
524174,KESAR PETRO ,X ,Q,7.32,7.85,7.25,7.42,7.49,7.59,114,16318,120250.00,
524200,VINATI ORG. ,A ,Q,2006.00,2027.35,1980.00,2004.15,2005.00,2005.60,142,1037,2079563.00,
524202,LACTOSE(I)  ,XT,Q,26.90,26.95,26.00,26.10,26.95,26.60,14,2038,53441.00,
524208,AARTI INDUST,A ,Q,1730.00,1762.00,1714.00,1757.25,1757.25,1726.55,603,4292,7475217.00,
524212,WANBURY LTD ,T ,Q,17.95,17.95,16.60,16.75,16.75,17.15,13,202,3387.00,
524218,RESONANCE   ,X ,Q,35.50,37.45,34.50,35.35,34.50,36.30,45,3423,122699.00,
524226,GUJ AMB EXP ,B ,Q,191.55,191.55,185.50,185.55,185.50,192.40,182,3177,593311.00,
524230,RASHTR.CHEM.,A ,Q,62.50,62.50,61.00,61.35,61.35,62.45,419,77435,4775517.00,
524280,KOPRAN LTD. ,B ,Q,37.00,37.00,36.30,36.50,36.40,36.85,169,14734,540782.00,
524288,AIMCO PESTI.,X ,Q,118.00,118.00,108.05,109.80,109.00,113.50,34,1165,127937.00,
524314,GUJ.TERC LAB,XT,Q,7.00,7.00,7.00,7.00,7.00,7.00,1,100,700.00,
524322,KABRA DRUGS ,XT,Q,0.57,0.57,0.57,0.57,0.57,0.57,2,1000,570.00,
524324,SEYAIND     ,B ,Q,440.00,441.00,425.00,430.55,429.95,433.60,75,6804,2957206.00,
